"id","name","state_ids/id"
"l10n_cl_dte.ur_Par","Parral","l10n_cl_counties.CL07404,l10n_cl_counties.CL07405"
"l10n_cl_dte.ur_Pic","Pichilemu","l10n_cl_counties.CL06201,l10n_cl_counties.CL06202,l10n_cl_counties.CL06203,l10n_cl_counties.CL06204,l10n_cl_counties.CL06206"
"l10n_cl_dte.ur_Por","Porvenir","l10n_cl_counties.CL12301,l10n_cl_counties.CL12302,l10n_cl_counties.CL12303"
"l10n_cl_dte.ur_PuM","Puerto Montt","l10n_cl_counties.CL10101,l10n_cl_counties.CL10102,l10n_cl_counties.CL10106,l10n_cl_counties.CL10108,l10n_cl_counties.CL10403"
"l10n_cl_dte.ur_PuN","Puerto Natales","l10n_cl_counties.CL12401,l10n_cl_counties.CL12402"
"l10n_cl_dte.ur_PuV","Puerto Varas","l10n_cl_counties.CL10103,l10n_cl_counties.CL10104,l10n_cl_counties.CL10105,l10n_cl_counties.CL10107,l10n_cl_counties.CL10109"
"l10n_cl_dte.ur_PuA","Punta Arenas","l10n_cl_counties.CL12101,l10n_cl_counties.CL12102,l10n_cl_counties.CL12103,l10n_cl_counties.CL12104,l10n_cl_counties.CL12201"
"l10n_cl_dte.ur_Qui","Quillota","l10n_cl_counties.CL05501,l10n_cl_counties.CL05502,l10n_cl_counties.CL05503,l10n_cl_counties.CL05504,l10n_cl_counties.CL05505,l10n_cl_counties.CL05506,l10n_cl_counties.CL05507"
"l10n_cl_dte.ur_Ran","Rancagua","l10n_cl_counties.CL06101,l10n_cl_counties.CL06102,l10n_cl_counties.CL06103,l10n_cl_counties.CL06104,l10n_cl_counties.CL06105,l10n_cl_counties.CL06106,l10n_cl_counties.CL06108,l10n_cl_counties.CL06109,l10n_cl_counties.CL06110,l10n_cl_counties.CL06111,l10n_cl_counties.CL06114,l10n_cl_counties.CL06115,l10n_cl_counties.CL06116"
"l10n_cl_dte.ur_SaA","San Antonio","l10n_cl_counties.CL05601,l10n_cl_counties.CL05602,l10n_cl_counties.CL05603,l10n_cl_counties.CL05604,l10n_cl_counties.CL05605,l10n_cl_counties.CL05606"
"l10n_cl_dte.ur_Sar","San Carlos","l10n_cl_counties.CL08416,l10n_cl_counties.CL08417,l10n_cl_counties.CL08419,l10n_cl_counties.CL12104"
"l10n_cl_dte.ur_SaF","San Felipe","l10n_cl_counties.CL05701,l10n_cl_counties.CL05702,l10n_cl_counties.CL05703,l10n_cl_counties.CL05704,l10n_cl_counties.CL05705,l10n_cl_counties.CL05706"
"l10n_cl_dte.ur_SaD","San Fernando","l10n_cl_counties.CL06301,l10n_cl_counties.CL06303,l10n_cl_counties.CL06305,l10n_cl_counties.CL06308"
"l10n_cl_dte.ur_SaV","San Vicente de Tagua Tagua","l10n_cl_counties.CL06107,l10n_cl_counties.CL06112,l10n_cl_counties.CL06113,l10n_cl_counties.CL06117"
"l10n_cl_dte.ur_SaZ","Santa Cruz","l10n_cl_counties.CL06302,l10n_cl_counties.CL06304,l10n_cl_counties.CL06306,l10n_cl_counties.CL06307,l10n_cl_counties.CL06309,l10n_cl_counties.CL06310"
"l10n_cl_dte.ur_SaC","Santiago Centro","l10n_cl_counties.CL13101"
"l10n_cl_dte.ur_SaN","Santiago Norte","l10n_cl_counties.CL13104,l10n_cl_counties.CL13107,l10n_cl_counties.CL13108,l10n_cl_counties.CL13125,l10n_cl_counties.CL13127,l10n_cl_counties.CL13301,l10n_cl_counties.CL13302,l10n_cl_counties.CL13303"
"l10n_cl_dte.ur_SaO","Santiago Oriente","l10n_cl_counties.CL06107,l10n_cl_counties.CL13114,l10n_cl_counties.CL13115,l10n_cl_counties.CL13123,l10n_cl_counties.CL13132"
"l10n_cl_dte.ur_SaP","Santiago Poniente","l10n_cl_counties.CL13103,l10n_cl_counties.CL13106,l10n_cl_counties.CL13117,l10n_cl_counties.CL13124,l10n_cl_counties.CL13126,l10n_cl_counties.CL13128,l10n_cl_counties.CL13503"
"l10n_cl_dte.ur_SaS","Santiago Sur","l10n_cl_counties.CL13109,l10n_cl_counties.CL13111,l10n_cl_counties.CL13112,l10n_cl_counties.CL13116,l10n_cl_counties.CL13121,l10n_cl_counties.CL13129,l10n_cl_counties.CL13130,l10n_cl_counties.CL13131"
"l10n_cl_dte.ur_TaT","Tal-Tal","l10n_cl_counties.CL02104"
"l10n_cl_dte.ur_Tac","Talca","l10n_cl_counties.CL07101,l10n_cl_counties.CL07103,l10n_cl_counties.CL07105,l10n_cl_counties.CL07106,l10n_cl_counties.CL07107,l10n_cl_counties.CL07108,l10n_cl_counties.CL07109,l10n_cl_counties.CL07406"
"l10n_cl_dte.ur_Tah","Talcahuano","l10n_cl_counties.CL08110,l10n_cl_counties.CL08112"
"l10n_cl_dte.ur_Tem","Temuco","l10n_cl_counties.CL09101,l10n_cl_counties.CL09102,l10n_cl_counties.CL09103,l10n_cl_counties.CL09105,l10n_cl_counties.CL09106,l10n_cl_counties.CL09107,l10n_cl_counties.CL09108,l10n_cl_counties.CL09109,l10n_cl_counties.CL09110,l10n_cl_counties.CL09111,l10n_cl_counties.CL09112,l10n_cl_counties.CL09113,l10n_cl_counties.CL09114,l10n_cl_counties.CL09116,l10n_cl_counties.CL09117,l10n_cl_counties.CL09118,l10n_cl_counties.CL09119,l10n_cl_counties.CL09121"
"l10n_cl_dte.ur_Toc","Tocopilla","l10n_cl_counties.CL02301,l10n_cl_counties.CL02302"
"l10n_cl_dte.ur_Vld","Valdivia","l10n_cl_counties.CL14101,l10n_cl_counties.CL14102,l10n_cl_counties.CL14103,l10n_cl_counties.CL14104,l10n_cl_counties.CL14105,l10n_cl_counties.CL14106,l10n_cl_counties.CL14107,l10n_cl_counties.CL14108,l10n_cl_counties.CL14201,l10n_cl_counties.CL14202,l10n_cl_counties.CL14203,l10n_cl_counties.CL14204"
"l10n_cl_dte.ur_Val","Vallenar","l10n_cl_counties.CL03301,l10n_cl_counties.CL03302,l10n_cl_counties.CL03303,l10n_cl_counties.CL03304"
"l10n_cl_dte.ur_Vlp","Valparaíso","l10n_cl_counties.CL05101,l10n_cl_counties.CL05102,l10n_cl_counties.CL05103,l10n_cl_counties.CL05104,l10n_cl_counties.CL05105,l10n_cl_counties.CL05107,l10n_cl_counties.CL05109,l10n_cl_counties.CL05201"
"l10n_cl_dte.ur_Vic","Victoria","l10n_cl_counties.CL09203,l10n_cl_counties.CL09205,l10n_cl_counties.CL09207,l10n_cl_counties.CL09210,l10n_cl_counties.CL09211"
"l10n_cl_dte.ur_ViA","Villa Alemana","l10n_cl_counties.CL05106,l10n_cl_counties.CL05108"
"l10n_cl_dte.ur_ViR","Villarrica","l10n_cl_counties.CL09104,l10n_cl_counties.CL09115,l10n_cl_counties.CL09120"
"l10n_cl_dte.ur_ViM","Viña del Mar","l10n_cl_counties.CL05103,l10n_cl_counties.CL05105,l10n_cl_counties.CL05107,l10n_cl_counties.CL05109"
