id,code,name,state_id/id,l10n_cl_sii_regional_office,country_id/id
city_cl_11203,CL11203,Guaitecas,state_cl_112,ur_Ays,base.cl
city_cl_05503,CL05503,Hijuelas,state_cl_055,ur_Qui,base.cl
city_cl_10403,CL10403,Hualaihue,state_cl_104,ur_PuM,base.cl
city_cl_07302,CL07302,Hualañé,state_cl_073,ur_Cur,base.cl
city_cl_08112,CL08112,Hualpén,state_cl_081,ur_Tah,base.cl
city_cl_08105,CL08105,Hualqui,state_cl_081,ur_Cop,base.cl
city_cl_01404,CL01404,Huara,state_cl_014,ur_Iqu,base.cl
city_cl_03304,CL03304,Huasco,state_cl_033,ur_Val,base.cl
city_cl_13107,CL13107,Huechuraba,state_cl_131,ur_SaN,base.cl
city_cl_04201,CL04201,Illapel,state_cl_042,ur_Ill,base.cl
city_cl_13108,CL13108,Independencia,state_cl_131,ur_SaN,base.cl
city_cl_01101,CL01101,Iquique,state_cl_011,ur_Iqu,base.cl
city_cl_13603,CL13603,Isla de Maipo,state_cl_136,ur_SaP,base.cl
city_cl_05201,CL05201,Isla de Pascua,state_cl_052,ur_Vlp,base.cl
city_cl_05104,CL05104,Juan Fernández,state_cl_051,ur_Vlp,base.cl
city_cl_13109,CL13109,La Cisterna,state_cl_131,ur_SaS,base.cl
city_cl_05504,CL05504,La Cruz,state_cl_055,ur_Qui,base.cl
city_cl_06202,CL06202,La Estrella,state_cl_062,ur_Pic,base.cl
city_cl_13110,CL13110,La Florida,state_cl_131,ur_LaF,base.cl
city_cl_14203,CL14203,Lago Ranco,state_cl_142,ur_LaU,base.cl
city_cl_11102,CL11102,Lago Verde,state_cl_111,ur_Ays,base.cl
city_cl_13111,CL13111,La Granja,state_cl_131,ur_SaS,base.cl
city_cl_12102,CL12102,Laguna Blanca,state_cl_121,ur_PuA,base.cl
city_cl_04104,CL04104,La Higuera,state_cl_041,ur_LaS,base.cl
city_cl_08304,CL08304,Laja,state_cl_083,ur_Log,base.cl
city_cl_05401,CL05401,La Ligua,state_cl_054,ur_LaL,base.cl
city_cl_13302,CL13302,Lampa,state_cl_133,ur_SaN,base.cl
city_cl_14103,CL14103,Lanco,state_cl_141,ur_Lan,base.cl
city_cl_13112,CL13112,La Pintana,state_cl_131,ur_SaS,base.cl
city_cl_13113,CL13113,La Reina,state_cl_131,ur_SaC,base.cl
city_cl_06107,CL06107,Las Cabras,state_cl_061,ur_SaV,base.cl
city_cl_13114,CL13114,Las Condes,state_cl_131,ur_SaO,base.cl
city_cl_04101,CL04101,La Serena,state_cl_041,ur_LaS,base.cl
city_cl_14201,CL14201,La Unión,state_cl_142,ur_LaU,base.cl
city_cl_09108,CL09108,Lautaro,state_cl_091,ur_Tem,base.cl
city_cl_08201,CL08201,Lebu,state_cl_082,ur_Leb,base.cl
city_cl_07303,CL07303,Licantén,state_cl_073,ur_Cur,base.cl
city_cl_05505,CL05505,Limache,state_cl_055,ur_Qui,base.cl
city_cl_07401,CL07401,Linares,state_cl_074,ur_Lin,base.cl
city_cl_06203,CL06203,Litueche,state_cl_062,ur_Pic,base.cl
city_cl_10107,CL10107,Llanquihue,state_cl_101,ur_PuV,base.cl
city_cl_05703,CL05703,Llay Llay,state_cl_057,ur_SaF,base.cl
city_cl_13115,CL13115,Lo Barnechea,state_cl_131,ur_SaO,base.cl
city_cl_13116,CL13116,Lo Espejo,state_cl_131,ur_SaS,base.cl
city_cl_06304,CL06304,Lolol,state_cl_063,ur_SaZ,base.cl
city_cl_09109,CL09109,Loncoche,state_cl_091,ur_Tem,base.cl
city_cl_07403,CL07403,Longaví,state_cl_074,ur_Lin,base.cl
city_cl_09205,CL09205,Lonquimay,state_cl_092,ur_Vic,base.cl
city_cl_13117,CL13117,Lo Prado,state_cl_131,ur_SaP,base.cl
city_cl_08206,CL08206,Los Alamos,state_cl_082,ur_Leb,base.cl
city_cl_05301,CL05301,Los Andes,state_cl_053,ur_Lod,base.cl
city_cl_08301,CL08301,Los Angeles,state_cl_083,ur_Log,base.cl
city_cl_14104,CL14104,Los Lagos,state_cl_141,ur_Vld,base.cl
city_cl_10106,CL10106,Los Muermos,state_cl_101,ur_PuM,base.cl
city_cl_09206,CL09206,Los Sauces,state_cl_092,ur_Ang,base.cl
city_cl_04203,CL04203,Los Vilos,state_cl_042,ur_Ill,base.cl
city_cl_08106,CL08106,Lota,state_cl_081,ur_Cop,base.cl
city_cl_09207,CL09207,Lumaco,state_cl_092,ur_Vic,base.cl
city_cl_06108,CL06108,Machalí,state_cl_061,ur_Ran,base.cl
city_cl_13118,CL13118,Macul,state_cl_131,ur_SaC,base.cl
city_cl_14105,CL14105,Máfil,state_cl_141,ur_Vld,base.cl
city_cl_13119,CL13119,Maipú,state_cl_131,ur_SaP,base.cl
city_cl_06109,CL06109,Malloa,state_cl_061,ur_Ran,base.cl
city_cl_06204,CL06204,Marchihue,state_cl_062,ur_Pic,base.cl
city_cl_02302,CL02302,María Elena,state_cl_023,ur_Toc,base.cl
city_cl_13504,CL13504,María Pinto,state_cl_135,ur_SaP,base.cl
city_cl_14106,CL14106,Mariquina,state_cl_141,ur_Vld,base.cl
city_cl_07105,CL07105,Maule,state_cl_071,ur_Tac,base.cl
city_cl_10108,CL10108,Maullín,state_cl_101,ur_PuM,base.cl
city_cl_02102,CL02102,Mejillones,state_cl_021,ur_Ant,base.cl
city_cl_09110,CL09110,Melipeuco,state_cl_091,ur_Tem,base.cl
city_cl_13501,CL13501,Melipilla,state_cl_135,ur_SaP,base.cl
city_cl_07304,CL07304,Molina,state_cl_073,ur_Cur,base.cl
city_cl_04303,CL04303,Monte Patria,state_cl_043,ur_Ova,base.cl
city_cl_06110,CL06110,Mostazal,state_cl_061,ur_Ran,base.cl
city_cl_08305,CL08305,Mulchén,state_cl_083,ur_Log,base.cl
